frame_path,label
d:\AI Research\AI CNN Model\Input\Player_01\FS\Player01_FS_Set_01\Player01_FS_40Kg_front_view\frame_0390.jpg,nothing
d:\AI Research\AI CNN Model\Input\Player_01\FS\Player01_FS_Set_01\Player01_FS_40Kg_front_view\frame_0391.jpg,nothing
d:\AI Research\AI CNN Model\Input\Player_01\FS\Player01_FS_Set_01\Player01_FS_40Kg_front_view\frame_0392.jpg,nothing
d:\AI Research\AI CNN Model\Input\Player_01\FS\Player01_FS_Set_01\Player01_FS_40Kg_front_view\frame_0393.jpg,nothing
d:\AI Research\AI CNN Model\Input\Player_01\FS\Player01_FS_Set_01\Player01_FS_40Kg_front_view\frame_0394.jpg,nothing
d:\AI Research\AI CNN Model\Input\Player_01\FS\Player01_FS_Set_01\Player01_FS_40Kg_front_view\frame_0395.jpg,start
d:\AI Research\AI CNN Model\Input\Player_01\FS\Player01_FS_Set_01\Player01_FS_40Kg_front_view\frame_0396.jpg,start
d:\AI Research\AI CNN Model\Input\Player_01\FS\Player01_FS_Set_01\Player01_FS_40Kg_front_view\frame_0397.jpg,start
d:\AI Research\AI CNN Model\Input\Player_01\FS\Player01_FS_Set_01\Player01_FS_40Kg_front_view\frame_0398.jpg,start
d:\AI Research\AI CNN Model\Input\Player_01\FS\Player01_FS_Set_01\Player01_FS_40Kg_front_view\frame_0399.jpg,start
d:\AI Research\AI CNN Model\Input\Player_01\FS\Player01_FS_Set_01\Player01_FS_40Kg_front_view\frame_0400.jpg,start
d:\AI Research\AI CNN Model\Input\Player_01\FS\Player01_FS_Set_01\Player01_FS_40Kg_front_view\frame_0401.jpg,start
d:\AI Research\AI CNN Model\Input\Player_01\FS\Player01_FS_Set_01\Player01_FS_40Kg_front_view\frame_0402.jpg,start
d:\AI Research\AI CNN Model\Input\Player_01\FS\Player01_FS_Set_01\Player01_FS_40Kg_front_view\frame_0403.jpg,start
d:\AI Research\AI CNN Model\Input\Player_01\FS\Player01_FS_Set_01\Player01_FS_40Kg_front_view\frame_0404.jpg,start
d:\AI Research\AI CNN Model\Input\Player_01\FS\Player01_FS_Set_01\Player01_FS_40Kg_front_view\frame_0405.jpg,start
